Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2015,6114049,1/1/2015,"BIONICLE Spring Ast 3 (70782, 70783; 3 ea)",0,,0,,LEGO® BIONICLE,8.57,January,6114049,34%,1,12.99
12/31/2015,6114048,1/1/2015,"BIONICLE Spring Ast 2 (70780, 70781; 3 ea)",0,,0,,LEGO® BIONICLE,8.57,January,6114048,34%,1,12.99
12/31/2015,6114046,1/1/2015,"BIONICLE Spring Ast 1 (70778, 70779; 3 ea)",0,,0,,LEGO® BIONICLE,8.57,January,6114046,34%,1,12.99
12/31/2015,21003,2/7/2011,Seattle Space Needle,0,C,0,C,LEGO® Architecture,15.49,Full Year,4643322,38%,5,24.99
6/30/2015,21005,2/7/2011,Fallingwater®,0,C,0,C,LEGO® Architecture,80.59,Spring Only,4643329,38%,3,129.99
,41543,,Turg,,,,,Mixels,,,,,,5.99
,41541,,Snoof,,,,,Mixels,,,,,,5.99
,41540,,Chilbo,,,,,Mixels,,,,,,5.99
,41544,,Tungster,,,,,Mixels,,,,,,5.99
,9843,,Touch Sensor,,,,,MINDSTORMS Education,,,,,,29.95
12/31/2015,10188,9/1/2008,Death Star™,0,C,0,C,LEGO® Star Wars™,349.99,Full Year,4657612,30%,1,499.00
12/31/2015,30305,3/1/2015,Spider-Man Super Jumper,0,D,0,D,LEGO® Co-Promotion,3.49,March,6103887,30%,30,4.99
,41542,,Spugg,,,,,Mixels,,,,,,5.99
12/31/2015,30304,3/1/2015,Avengers #8,0,D,0,D,LEGO® Co-Promotion,3.49,March,6102270,30%,30,4.99
,9842,,Interactive Servo Motor,,,,,MINDSTORMS Education,,,,,,29.95
12/31/2015,30293,1/1/2015,Kai Drifter,0,D,0,D,LEGO® Co-Promotion,3.49,January,6101954,30%,30,4.99
12/31/2015,30292,1/1/2015,Jay NanoMech,0,D,0,D,LEGO® Co-Promotion,3.49,January,6101952,30%,30,4.99
12/31/2015,30291,1/1/2015,Anacondrai Battle Mech,0,D,0,D,LEGO® Co-Promotion,3.49,January,6101950,30%,30,4.99
12/31/2015,30303,1/1/2015,The Joker Bumper Car,0,D,0,D,LEGO® Co-Promotion,3.49,January,6102274,30%,30,4.99
12/31/2015,30294,6/1/2015,The Cowler Dragon,0,F,0,,LEGO® Co-Promotion,3.49,June,6114424,30%,30,4.99
12/31/2016,10240,6/1/2013,Red Five X-wing Starfighter™,0,C,0,C,LEGO® Star Wars™,174.99,Full Year,6025188,30%,2,249.00
12/31/2015,60036,8/1/2014,Arctic Base Camp,0,A,0,A,LEGO® City Arctic,71.49,Full Year,6059173,35%,3,109.99
12/31/2015,60034,8/1/2014,Arctic Helicrane,0,A,0,A,LEGO® City Arctic,32.49,Full Year,6059164,35%,4,49.99
12/31/2015,60035,8/1/2014,Arctic Outpost,0,A,0,A,LEGO® City Arctic,37.19,Full Year,6059167,38%,3,59.99
12/31/2015,60032,8/1/2014,Arctic Snowmobile,0,A,0,A,LEGO® City Arctic,5.57,Full Year,6059153,38%,8,8.99
12/31/2015,60033,8/1/2014,Arctic Ice Crawler,0,A,0,A,LEGO® City Arctic,11.15,Full Year,6059158,38%,5,17.99
7/31/2016,70752,3/1/2015,Jungle Trap,0,C,0,C,LEGO® Ninjago,6.29,March,6099872,30%,5,8.99
12/31/2015,70170,3/1/2015,UltraCopter vs. AntiMatter,0,C,0,A,LEGO® Ultra Agents,65.99,March,6100986,34%,3,99.99
5/31/2015,6102132,2/1/2015,LEGO® Mixels Series 4 (4ea. of 41527-41529 & 3ea. of 41530-41535),0,,0,,LEGO® Mixels™,3.95,February,6102132,34%,1,5.99
12/31/2018,10602,8/1/2015,Camping Adventure,0,C,0,,LEGO® DUPLO® Town,18.59,August,6101295,38%,2,29.99
12/31/2017,10604,8/1/2015,Jake and the Never Land Pirates Treasure,0,C,0,,LEGO® DUPLO® brand Disney Jake and the Never Land Pirates™,13.99,August,6101214,30%,3,19.99
12/31/2015,4962,6/1/2014,Baby Zoo,0,C,0,C,LEGO® DUPLO® Town,8.05,Full Year,6070171,38%,4,12.99
12/31/2015,75058,8/1/2014,MTT™,0,D,0,D,LEGO® Star Wars™,76.99,Full Year,6061444,30%,3,109.99
12/31/2015,75049,8/1/2014,Snowspeeder™,0,A,0,A,LEGO® Star Wars™,27.99,Full Year,6061139,30%,5,39.99
12/31/2015,75048,8/1/2014,The Phantom,0,A,0,A,LEGO® Star Wars™,20.99,Full Year,6061137,30%,4,29.99
12/31/2015,75040,3/1/2014,General Grievous' Wheel Bike™,0,A,0,A,LEGO® Star Wars™,20.99,Full Year,6060939,30%,4,29.99
12/31/2015,75043,3/1/2014,AT-AP™,0,A,0,A,LEGO® Star Wars™,52.49,Full Year,6061129,30%,3,74.99
12/31/2015,75042,3/1/2014,Droid Gunship™,0,A,0,A,LEGO® Star Wars™,41.99,Full Year,6061125,30%,3,59.99
